epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.975,0,279032,0,0,0,0,0,0,18828,0,0.00330508,0.00330508,0.00330508
2,134.987,0,80.8783,0,0,0,0,0,0,0,0,0.00661651,0.00661651,0.00661651
3,162.98,0,0.0148,0,0,0,0,0,0,0,0,0.00990594,0.00990594,0.00990594
4,194.311,0,0.00552,0,0,0,0,0,0,0,0,0.009901,0.009901,0.009901
5,225.917,0,0.00175,0,0,0,0,0,0,0,0,0.009868,0.009868,0.009868
6,257.167,0,0.00224,0,0,0,0,0,0,0,0,0.009835,0.009835,0.009835
7,288.392,0,0.00133,0,0,0,0,0,0,0,0,0.009802,0.009802,0.009802
8,319.606,0,0.00063,0,0,0,0,0,0,0,0,0.009769,0.009769,0.009769
9,350.771,0,0.00254,0,0,0,0,0,0,0,0,0.009736,0.009736,0.009736
10,382.1,0,6e-05,0,0,0,0,0,0,0,0,0.009703,0.009703,0.009703
11,413.295,0,9e-05,0,0,0,0,0,0,0,0,0.00967,0.00967,0.00967
12,444.479,0,0.21828,0,0,0,0,0,0,0.01232,0,0.009637,0.009637,0.009637
13,475.721,0,0.00019,0,0,0,0,0,0,0,0,0.009604,0.009604,0.009604
14,506.877,0,0.00038,0,0,0,0,0,0,0,0,0.009571,0.009571,0.009571
