epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.725,0,278471,0,0,0,0,0,0,18377,0,0.00330508,0.00330508,0.00330508
2,135.867,0,80.8341,0,0,0,0,0,0,0,0,0.00661651,0.00661651,0.00661651
3,162.596,0,0.01478,0,0,0,0,0,0,0,0,0.00990594,0.00990594,0.00990594
4,193.606,0,0.00701,0,0,0,0,0,0,0,0,0.009901,0.009901,0.009901
