epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.0967,0,96140.3,0,0,0,0,0,0,162.174,0,0.00331921,0.00331921,0.00331921
2,77.7674,0,11.1675,0,0,0,0,0,0,0,0,0.00533534,0.00533534,0.00533534
3,111.837,0,7e-05,0,0,0,0,0,0,0,0,0.00603147,0.00603147,0.00603147
4,145.279,0,7e-05,0,0,0,0,0,0,0,0,0.00406,0.00406,0.00406
5,178.839,0,0.00042,0,0,0,0,0,0,0,0,0.00208,0.00208,0.00208
